Qty,Value,Device,Package,Parts,Description
4,0.1uF,C_CHIP-0603(1608-METRIC),CAPC1608X85,"C1, C2, C3, C4",Capacitor - Generic
1,10uF,C_CHIP-0805(2012-METRIC),CAPC2012X110,C5,Capacitor - Generic
4,ANALOG_DEVICES_ADG731BSUZANALOG_DEVICES_ADG731BSUZ_0_0,ANALOG_DEVICES_ADG731BSUZANALOG_DEVICES_ADG731BSUZ_0_0,TQFP-48,"U1, U2, U3, U4",ADI-ADG731-SU-48
1,MOLEX_52465-1870,MOLEX_52465-1870,MOLEX_52465-1870,J1,
1,PINHD-2X16,PINHD-2X16,2X16,JP3,"PIN HEADER 0.1"" PITCH"
